accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
49,0,0.0,35,212,43.8,131,356,487,63.83,8,88.89,1,26,0,0,0,0,291,0,0,0,5,12,26,2,0,0,2,3,4,3,0.05,,0,0,0.0,206,0,0,40,34,6,0,0,8.21,7,77.78,0,36,0,276,0,1,0,25,2295,0,,0,0,0,0,0.0,5,0,0,0,285,0,5,7.29,0,0,5,70,33,103,0,25,0.0,0.0,0,0,0,0,0,0,0.0,5,0,0,0.0,1,64,0,0,15,83.33,484,371,392,763,189.6,0,0,1099,10,3,0,Ali Şaşal Vural,Sivasspor,94540,3076,GK
21,20,20.41,191,15,31.91,357,191,528,78.92,11,42.31,15,25,3,0,0,0,94,8,3,4,2,25,24,0,0,10,13,65,0,1,3.78,5.24,15,0,20.0,0,7,10,20,16,4,6,1,,65,56.52,0,0,2,141,12,27,3,18,1589,3,,0,0,0,0,0.0,0,0,0,0,277,16,0,7.28,0,4,0,0,0,0,0,0,227.0,0.0,0,19,16,16,15,15,51.72,0,36,20,55.56,27,46,29,98,76,53.9,47,547,220,669,174.7,35,3,1102,14,1,0,Oğuz Aydın,Fenerbahçe,999396,3052,MF
54,48,29.63,319,58,65.91,536,233,721,79.49,3,42.86,4,30,6,0,0,0,98,18,7,19,2,6,30,0,1,21,25,84,0,0,7.25,4.72,16,0,6.45,0,4,10,30,25,5,2,2,,77,49.04,0,0,2,186,23,69,1,25,2146,5,,0,1,0,2,0.0,0,0,0,1,396,27,0,7.27,1,3,0,0,0,0,0,0,536.5,0.0,2,38,24,31,12,24,54.55,0,31,22,70.97,68,84,44,162,80,48.78,88,798,271,907,218.2,62,3,1418,22,3,0,Edin Višća,Trabzonspor,109779,3051,MF
24,10,25.64,316,19,39.58,502,171,663,82.67,9,40.91,13,30,10,0,0,0,109,14,2,15,3,12,30,0,0,31,17,123,0,0,5.88,4.15,16,0,13.73,0,7,17,17,17,0,5,2,,63,36.42,0,0,1,139,13,51,4,25,2126,5,,0,1,0,0,0.0,0,0,0,0,309,23,0,7.27,0,3,0,0,0,0,0,0,303.71,0.0,0,27,24,16,20,37,43.53,0,15,11,73.33,50,51,85,39,72,36.92,48,647,194,802,218.0,51,3,1185,11,4,0,Yunus Akgün,Galatasaray,857738,3061,MF
19,4,36.36,148,11,55.0,262,121,379,72.19,96,50.0,96,33,2,0,0,3,60,6,20,17,3,24,33,0,1,34,15,198,0,1,2.05,19.37,34,0,19.81,0,21,23,42,38,4,21,0,,76,42.7,6,0,3,146,3,26,2,29,2619,12,,0,0,8,0,62.5,0,5,0,1,266,16,0,7.26,1,13,0,0,0,0,0,0,124.71,0.0,0,86,20,36,53,15,38.46,0,12,9,75.0,26,31,39,11,172,46.49,20,387,149,525,239.6,106,5,925,52,6,0,Krzysztof Piątek,Başakşehir FK,558738,3086,FW
50,42,25.77,233,38,53.52,393,145,496,71.37,3,25.0,9,33,7,0,0,0,76,17,5,8,0,11,33,0,0,20,21,81,0,0,6.22,4.05,26,0,11.36,0,5,12,19,19,0,5,0,,67,48.2,0,0,0,199,9,65,0,22,1814,2,,0,2,1,0,100.0,0,1,0,2,392,20,0,7.25,0,5,0,0,0,0,0,0,362.8,0.0,8,28,16,14,22,5,41.67,0,38,22,57.89,63,98,12,163,70,46.36,71,686,172,695,239.3,44,2,1112,24,3,0,Dries Mertens,Galatasaray,32493,3061,MF
41,7,26.92,198,39,67.24,331,170,494,68.14,72,51.8,67,35,4,1,0,0,55,9,18,18,2,40,35,0,0,28,7,128,1,1,4.13,15.95,17,0,13.08,0,14,18,25,21,4,14,0,,68,52.71,0,0,3,231,2,48,2,24,2247,17,,0,1,4,0,75.0,0,3,0,0,345,14,0,7.24,0,12,0,0,0,0,0,0,160.5,0.0,0,92,15,44,45,12,46.15,0,14,6,42.86,47,75,26,26,140,52.24,58,543,208,725,253.4,107,3,1144,45,1,0,Edin Džeko,Fenerbahçe,14990,3052,FW
3,0,0.0,48,6,60.0,81,38,119,76.28,11,68.75,5,11,1,0,0,0,16,2,2,4,2,7,11,0,0,12,4,40,0,0,1.33,3.88,18,0,26.32,0,5,6,5,5,0,5,0,,27,43.55,1,0,0,37,1,12,1,5,561,3,,0,0,1,0,100.0,0,1,0,1,70,4,0,7.24,0,3,0,0,0,0,0,0,112.2,0.0,0,16,3,6,9,2,50.0,0,14,8,57.14,12,9,4,8,38,48.72,10,116,48,156,79.6,19,1,264,11,2,0,Álvaro Morata,Galatasaray,125407,3061,MF
47,0,0.0,42,168,31.23,97,779,876,69.91,17,94.44,1,34,0,0,0,0,294,0,0,0,10,55,34,1,0,0,0,1,1,4,0.09,,0,0,0.0,248,0,0,44,40,4,0,0,8.64,13,100.0,0,38,0,377,1,1,0,34,3015,0,,0,0,0,0,0.0,3,0,0,0,385,0,21,7.24,0,0,18,79,34,115,0,30,0.0,0.0,0,0,0,0,0,2,100.0,18,3,2,66.67,1,87,2,0,30,96.77,538,417,836,1253,246.0,0,4,1651,10,5,0,Berke Özer,Eyüpspor,847494,7040,GK
91,12,52.17,176,124,52.99,502,893,1383,84.18,116,61.38,73,32,2,0,0,0,127,4,2,3,11,136,32,0,0,8,5,110,1,2,1.84,1.87,26,0,15.79,30,3,5,28,27,1,3,0,,54,59.34,2,0,1,260,55,16,1,32,2757,1,,0,0,0,2,0.0,0,0,0,0,304,3,0,7.23,0,0,0,0,0,0,0,0,919.0,0.0,0,15,4,6,10,9,81.82,0,29,24,82.76,16,165,11,23,170,60.71,234,696,970,1643,231.5,19,4,2067,19,4,0,Abdülkerim Bardakcı,Galatasaray,178963,3061,DF
