,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
318,Julien Maggiotti,fr FRA,MFFW,Bastia,28,1995,25,9,875,9.7,2,1,3,1,1,1,4,0,0.21,0.10,0.31,0.10,0.21,Matches,dee646cb
319,Yohann Magnin,fr FRA,MFDF,Clermont Foot,27,1997,27,20,1675,18.6,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,caa7aaea
320,Moise Mahop,fr FRA,DF,Annecy FC,24,2000,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,834b8025
321,Jean-Victor Makengo,fr FRA,MF,Lorient,26,1998,18,8,697,7.7,1,1,2,1,0,0,1,0,0.13,0.13,0.26,0.13,0.26,Matches,22bfb57e
322,Pape Mamadou Sy,sn SEN,GK,Metz,27,1997,3,2,182,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a5619c5
323,Stone Mambo,,DF,Rodez AF,25,1999,24,22,2009,22.3,0,2,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,e5c536da
324,Anthony Mandrea,dz ALG,GK,Caen,27,1996,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f7d3a773
325,Thomas Mangani,fr FRA,MF,Ajaccio,37,1987,19,7,850,9.4,0,1,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches,c801616a
326,Joseph Mangondo,fr FRA,FW,Metz,18,2005,4,0,81,0.9,0,1,1,0,0,0,0,0,0.00,1.11,1.11,0.00,1.11,Matches,39ded848
327,Vincent Marchetti,fr FRA,MF,Paris FC,27,1997,28,24,2044,22.7,2,5,7,2,0,0,5,2,0.09,0.22,0.31,0.09,0.31,Matches,740f00ac
328,Yan Marillat,fr FRA,GK,Martigues,29,1994,11,11,868,9.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,9d0dc466
329,Lucas Maronnier,fr FRA,DF,Guingamp,24,2000,19,14,1342,14.9,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,9d240e67
330,Owen Martinez Jullien,fr FRA,MF,Ajaccio,19,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2b096062
331,Loïs Martins,fr FRA,MF,Stade Laval,20,2004,7,0,119,1.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a9857d92
332,Brice Maubleu,fr FRA,GK,Grenoble Foot,34,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5748ef07
333,Aïman Maurer,ma MAR,FW,Clermont Foot,19,2004,8,1,121,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,87d31635
334,Steevy Mazikou,fr FRA,DF,Bastia,20,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b2b1cc49
335,Derek Mazou-Sacko,fr FRA,MFDF,Rodez AF,19,2004,31,9,998,11.1,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,810edef9
336,Malick Mbaye,sn SEN,MFFW,Amiens,20,2004,12,7,666,7.4,5,2,7,5,0,0,2,0,0.68,0.27,0.95,0.68,0.95,Matches,6d2b0ada
337,Nolan Mbemba,cg CGO,MF,Grenoble Foot,29,1995,15,11,837,9.3,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches,6c9642ae
338,Hianga'a Mbock,fr FRA,MF,Red Star,24,1999,27,13,1334,14.8,1,0,1,1,0,0,5,1,0.07,0.00,0.07,0.07,0.07,Matches,0f86995c
339,Michel Mboula,ga GAB,DF,Metz,21,2003,10,10,879,9.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,676ef6b6
340,Pathé Mboup,sn SEN,MFFW,Pau FC,20,2003,32,31,2596,28.8,9,3,12,7,2,3,11,1,0.31,0.10,0.42,0.24,0.35,Matches,a9fcdd09
341,Moustapha Mbow,sn SEN,DF,Paris FC,24,2000,32,32,2872,31.9,2,1,3,2,0,0,2,0,0.06,0.03,0.09,0.06,0.09,Matches,3f3a2cba
342,Daylam Meddah,fr FRA,DF,Caen,21,2002,6,5,423,4.7,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,98f4acf7
