,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
572,Mattéo Tramoni,fr FRA,MFFW,Pisa,24,2000,26,23,1945,21.6,13,3,16,12,1,1,0,0,0.60,0.14,0.74,0.56,0.69,Matches,2e0ae188
573,Simone Trimboli,it ITA,MF,Mantova,22,2002,35,34,3057,34.0,2,1,3,2,0,0,8,1,0.06,0.03,0.09,0.06,0.09,Matches,f5f21026
574,Alessandro Tripaldelli,it ITA,DF,Bari,25,1999,8,0,161,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4571fa88
575,Simone Tronchin,it ITA,MF,Cittadella,21,2002,23,21,1502,16.7,2,2,4,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,Matches,5919b541
576,Frank Tsadjout,it ITA,FW,Cremonese,25,1999,2,2,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0588a092
577,Frank Tsadjout,it ITA,FW,Frosinone,25,1999,15,7,681,7.6,0,1,1,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,Matches,0588a092
578,Riccardo Turicchia,it ITA,DF,Catanzaro,21,2003,1,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b08eb152
579,Gennaro Tutino,it ITA,FWMF,Sampdoria,27,1996,21,20,1713,19.0,5,4,9,4,1,1,4,0,0.26,0.21,0.47,0.21,0.42,Matches,8b303bcb
580,Oliver Urso,dk DEN,MF,Reggiana,25,1999,6,0,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,45789139
581,Diego Valencia,cl CHI,MFFW,Salernitana,24,2000,4,4,248,2.8,1,0,1,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches,71005acd
582,Mattia Valoti,it ITA,MF,Cremonese,30,1993,12,3,418,4.6,3,1,4,3,0,0,1,0,0.65,0.22,0.86,0.65,0.86,Matches,c414df9d
583,Jari Vandeputte,be BEL,MF,Cremonese,28,1996,35,26,2002,22.2,4,13,17,4,0,0,4,0,0.18,0.58,0.76,0.18,0.76,Matches,68e75bf4
584,Marco Varnier,it ITA,DF,Juve Stabia,26,1998,25,22,1894,21.0,1,0,1,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,Matches,cc2a3cec
585,Aljosa Vasic,rs SRB,MF,Palermo,22,2002,24,2,559,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7ca06482
586,Franco Vázquez,ar ARG,FWMF,Cremonese,35,1989,27,23,1853,20.6,9,2,11,8,1,1,5,0,0.44,0.10,0.53,0.39,0.49,Matches,467bae22
587,Tijs Velthuis,nl NED,DF,Salernitana,22,2002,8,6,555,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3925ee80
588,Michael Venturi,it ITA,DF,Cosenza,25,1999,28,22,1962,21.8,1,1,2,1,0,0,6,1,0.05,0.05,0.09,0.05,0.09,Matches,07d0e50e
589,Lorenzo Venuti,it ITA,MFDF,Sampdoria,29,1995,30,23,1967,21.9,2,1,3,2,0,0,6,0,0.09,0.05,0.14,0.09,0.14,Matches,983ff2c7
590,Daniele Verde,it ITA,FWMF,Salernitana,28,1996,35,24,2077,23.1,3,3,6,1,2,2,1,0,0.13,0.13,0.26,0.04,0.17,Matches,d3298c99
591,Simone Verdi,it ITA,MF,Sassuolo,32,1992,9,2,262,2.9,2,0,2,1,1,1,0,0,0.69,0.00,0.69,0.34,0.34,Matches,0375723e
592,Edoardo Vergani,it ITA,FW,FC Südtirol,23,2001,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2873973b
593,Antonio Vergara,it ITA,FWMF,Reggiana,21,2003,32,26,2241,24.9,5,5,10,5,0,0,10,0,0.20,0.20,0.40,0.20,0.40,Matches,848c17ed
594,Davide Veroli,it ITA,DF,Sampdoria,21,2003,14,12,1096,12.2,1,1,2,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,Matches,a872279e
595,Valerio Verre,it ITA,MFFW,Palermo,30,1994,28,17,1289,14.3,2,4,6,2,0,0,5,0,0.14,0.28,0.42,0.14,0.42,Matches,33ecf462
596,Matthias Verreth,be BEL,MF,Brescia,26,1998,32,31,2695,29.9,4,1,5,4,0,0,8,0,0.13,0.03,0.17,0.13,0.17,Matches,0bc254fa
597,Freddie Veseli,al ALB,DF,FC Südtirol,31,1992,16,15,1340,14.9,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,d541e703
598,Thomas Vettorel,it ITA,GK,Cosenza,23,2000,2,1,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33604a04
599,Francesco Vicari,it ITA,DF,Bari,29,1994,25,22,1960,21.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,de045b15
600,Luca Vido,it ITA,FWMF,Reggiana,27,1997,28,9,1002,11.1,6,1,7,5,1,1,4,0,0.54,0.09,0.63,0.45,0.54,Matches,eb0d77a4
601,Ronaldo Vieira,gw GNB,MF,Sampdoria,26,1998,18,10,897,10.0,0,1,1,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10,Matches,75e60d75
602,Luca Vignali,it ITA,MFDF,Spezia,28,1996,29,19,1733,19.3,5,1,6,5,0,0,9,1,0.26,0.05,0.31,0.26,0.31,Matches,c1e8e74e
603,Emanuel Vignato,it ITA,MF,Pisa,23,2000,11,5,458,5.1,0,1,1,0,0,0,1,1,0.00,0.20,0.20,0.00,0.20,Matches,ec5dae45
604,Alessandro Vimercati,it ITA,DF,FC Südtirol,21,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4e7407b8
605,Paolo Vismara,it ITA,GK,Sampdoria,21,2003,10,7,753,8.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d3ce5e99
606,Alessio Vita,it ITA,MFFW,Cittadella,31,1993,33,30,2592,28.8,4,1,5,4,0,0,5,0,0.14,0.03,0.17,0.14,0.17,Matches,0fbe3cbb
607,Cristian Volpato,au AUS,MFFW,Sassuolo,20,2003,18,9,706,7.8,4,6,10,4,0,0,4,1,0.51,0.76,1.27,0.51,1.27,Matches,72f87f25
608,Giovanni Volpe,it ITA,FW,Catanzaro,22,2002,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,76c10e60
609,Davide Voltan,it ITA,FW,Cittadella,29,1995,9,0,134,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa6e79e2
610,Stipe Vulikic,hr CRO,DF,Modena,23,2001,6,4,408,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d0b515da
611,Stipe Vulikic,hr CRO,DF,Sampdoria,23,2001,11,8,703,7.8,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,d0b515da
612,İsak Vural,tr TUR,MF,Frosinone,18,2006,23,14,1180,13.1,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,c7d1b2ff
613,David Wieser,it ITA,MF,Mantova,22,2002,29,7,849,9.4,0,2,2,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,Matches,804cda36
614,Przemysław Wiśniewski,pl POL,DF,Spezia,26,1998,32,30,2699,30.0,2,1,3,2,0,0,8,1,0.07,0.03,0.10,0.07,0.10,Matches,1bfe5ac9
615,Szymon Włodarczyk,pl POL,FW,Salernitana,21,2003,13,9,621,6.9,1,1,2,1,0,0,2,0,0.14,0.14,0.29,0.14,0.29,Matches,88015937
616,Gerard Yepes,es ESP,MF,Sampdoria,21,2002,25,20,1794,19.9,0,1,1,0,0,0,5,0,0.00,0.05,0.05,0.00,0.05,Matches,ee9040b4
617,Luca Zanimacchia,it ITA,MFDF,Cremonese,26,1998,31,20,1825,20.3,1,4,5,1,0,0,3,0,0.05,0.20,0.25,0.05,0.25,Matches,5e834dce
618,Simone Zanon,it ITA,MFDF,Carrarese,22,2001,35,30,2363,26.3,1,4,5,1,0,0,3,0,0.04,0.15,0.19,0.04,0.19,Matches,e2075fb7
619,Giovanni Zaro,it ITA,DF,Modena,30,1994,35,30,2746,30.5,1,2,3,1,0,0,9,0,0.03,0.07,0.10,0.03,0.10,Matches,1ead1c00
620,Karim Zedadka,fr FRA,MF,FC Südtirol,24,2000,18,10,875,9.7,1,1,2,1,0,0,2,0,0.10,0.10,0.21,0.10,0.21,Matches,2f45300d
621,Taha Zidouh,it ITA,FW,Modena,17,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b9e16a76
622,Massimo Zilli,it ITA,FWMF,Cosenza,22,2002,24,8,713,7.9,3,1,4,3,0,0,2,0,0.38,0.13,0.50,0.38,0.50,Matches,c092cd68
623,Federico Zuccon,it ITA,MF,Salernitana,21,2003,11,8,684,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f7fd61b6
624,Federico Zuccon,it ITA,MF,Juve Stabia,21,2003,7,0,76,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f7fd61b6
625,Emanuele Zuelli,it ITA,MF,Carrarese,22,2001,33,24,2061,22.9,2,3,5,2,0,0,3,0,0.09,0.13,0.22,0.09,0.22,Matches,c896d22a
