,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
62,Sergio Bermejo,es ESP,MFFW,Gil Vicente FC,26,1997,10,6,475,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,d166c007
63,Simão Bertelli,br BRA,GK,AVS Futebol,31,1993,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d7817a3d
64,Jan-Niklas Beste,de GER,DFMF,Benfica,25,1999,13,5,501,5.6,0,1,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches,57382429
65,José Bica,pt POR,FW,Vit. Guimarães,21,2003,4,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d37aab95
66,Biel,br BRA,FWMF,Sporting CP,23,2001,3,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1cb046cd
67,Raúl Blanco,es ESP,FW,Casa Pia,23,2001,5,3,250,2.8,1,0,1,1,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches,8f3cbe57
68,Paulinho Bóia,br BRA,MFFW,Nacional,26,1998,15,13,1081,12.0,1,2,3,1,0,0,2,0,0.08,0.17,0.25,0.08,0.25,Matches,bc486f0e
69,Kévin Boma,tg TOG,DF,Estoril,21,2002,29,29,2467,27.4,1,0,1,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,Matches,49cfaf2e
70,Pedro Bondo,ao ANG,DF,Famalicão,19,2004,6,2,181,2.0,1,1,2,1,0,0,1,1,0.50,0.50,0.99,0.50,0.99,Matches,da6bf022
71,Kiko Bondoso,pt POR,MFFW,Rio Ave,28,1995,28,24,1949,21.7,2,1,3,2,0,0,1,0,0.09,0.05,0.14,0.09,0.14,Matches,eb60757f
72,Toni Borevkovic,hr CRO,DF,Vit. Guimarães,27,1997,27,27,2420,26.9,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,d05eeced
73,Daniel Borges,br BRA,MF,Santa Clara,21,2003,16,1,194,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c6c9075b
74,Gonçalo Borges,pt POR,MFFW,Porto,23,2001,26,6,761,8.5,2,3,5,2,0,0,6,1,0.24,0.35,0.59,0.24,0.59,Matches,4d1c4a5d
75,Róbert Boženík,sk SVK,FW,Boavista,24,1999,33,30,2753,30.6,5,1,6,4,1,1,7,0,0.16,0.03,0.20,0.13,0.16,Matches,ba6cf633
76,Daniel Bragança,pt POR,MF,Sporting CP,25,1999,18,14,1077,12.0,3,4,7,3,0,0,3,0,0.25,0.33,0.58,0.25,0.58,Matches,0c152537
77,Bruno Brigido,br BRA,GK,Estrela,33,1991,18,18,1575,17.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ccca624
