accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
44,9,47.37,511,56,56.57,1379,1286,2656,92.71,21,52.5,19,30,4,0,0,0,171,4,2,10,5,31,30,0,0,25,32,120,0,2,4.45,3.28,30,1,6.06,2,2,6,36,32,4,1,1,,110,52.13,0,0,1,209,42,44,0,30,2666,0,,0,1,0,0,0.0,0,0,0,0,296,13,0,7.35,0,2,0,0,0,0,0,0,1333.0,14.29,7,16,17,15,8,7,30.43,0,64,45,70.31,43,93,23,19,131,52.19,99,1543,1341,2865,220.5,33,4,3281,39,5,0,Pierre-Emile Højbjerg,Olympique de Marseille,149593,1641,MF
20,0,0.0,4,63,38.41,34,192,226,68.69,4,100.0,0,14,0,0,0,0,124,0,0,0,6,10,14,0,0,1,1,2,1,1,0.01,,0,0,0.0,66,0,0,17,15,2,0,0,2.18,2,50.0,0,17,0,103,1,0,0,14,1260,0,,0,0,0,0,0.0,3,0,1,0,104,0,8,7.33,0,0,7,37,8,45,0,9,0.0,0.0,0,0,0,0,0,0,0.0,7,1,0,0.0,0,29,0,0,6,75.0,164,110,219,329,102.6,0,3,489,1,0,0,Mathew Ryan,RC Lens,134029,1648,GK
47,53,32.72,258,50,68.49,490,234,671,78.48,3,18.75,13,34,11,0,0,0,124,19,0,16,4,4,34,0,0,63,27,188,0,1,4.73,6.09,24,2,16.95,0,10,21,43,41,2,6,4,,129,42.43,0,0,0,184,12,74,5,31,2704,9,,0,1,0,0,0.0,0,0,0,0,480,21,0,7.32,0,5,0,0,0,0,0,0,270.4,40.0,5,32,27,17,26,60,49.18,0,49,26,53.06,73,72,122,162,132,41.25,73,747,270,855,248.9,59,5,1484,20,2,0,Gaëtan Perrin,Auxerre,827506,1646,MF
31,22,28.21,357,24,54.55,636,273,887,86.12,8,44.44,10,31,6,0,0,0,93,16,7,20,1,7,31,0,0,37,27,160,0,0,5.67,5.14,28,0,10.91,0,6,12,21,18,3,6,0,,149,49.83,0,0,1,143,13,55,0,18,1734,1,,0,0,0,0,0.0,0,0,0,2,364,14,0,7.32,0,6,0,0,0,0,0,0,289.0,0.0,0,38,17,15,20,57,48.31,0,48,30,62.5,55,48,118,78,157,49.53,44,813,295,1030,226.9,55,5,1599,44,1,0,Désiré Doué,Paris Saint-Germain,1154605,1644,MF
41,35,22.88,282,50,63.29,509,272,746,81.26,11,57.89,8,30,8,0,0,0,92,12,6,14,2,24,30,0,0,34,12,144,0,0,5.98,4.36,29,0,11.54,0,6,14,37,35,2,4,2,,147,51.94,0,0,1,172,15,48,6,29,2509,5,,0,1,0,0,0.0,0,0,0,0,469,19,0,7.31,0,0,0,0,0,0,0,0,418.17,0.0,6,23,29,16,22,50,43.48,0,26,14,53.85,47,72,115,153,158,52.32,79,766,305,918,219.4,52,3,1582,71,4,0,Dilane Bakwa,RC Strasbourg,963298,1659,MF
36,8,15.09,446,31,67.39,738,235,965,84.87,5,17.86,23,32,10,0,0,0,131,15,8,17,7,12,32,0,0,47,22,170,0,0,7.83,9.26,31,0,8.06,0,5,15,31,27,4,5,0,,139,48.6,0,0,1,172,15,51,4,27,2409,8,,0,2,1,0,100.0,0,1,0,0,408,35,0,7.31,0,1,0,0,0,0,0,0,481.8,0.0,2,48,14,26,19,50,50.0,0,51,31,60.78,49,60,100,53,144,45.86,46,938,252,1137,234.0,62,5,1708,38,2,0,Maghnes Akliouche,AS Monaco,1130939,1653,MF
67,7,21.88,396,52,55.91,797,535,1325,86.09,54,46.55,62,32,4,0,0,0,128,8,5,13,5,37,32,0,0,20,31,161,0,1,4.85,5.36,44,0,13.73,0,7,11,34,32,2,6,1,,118,54.38,4,0,1,214,22,32,0,27,2340,8,,0,1,0,1,0.0,0,0,0,0,306,24,0,7.3,0,3,0,0,0,0,0,0,334.29,0.0,0,35,16,18,20,11,52.38,0,57,25,43.86,31,111,21,32,172,51.65,93,984,587,1539,233.7,51,2,2019,50,4,0,Corentin Tolisso,Olympique Lyonnais,343067,1649,MF
71,0,0.0,56,248,35.23,165,333,498,52.09,8,88.89,1,32,2,0,0,0,321,2,0,0,9,29,32,0,0,0,3,5,1,0,0.1,,1,0,0.0,195,0,2,48,45,3,0,0,8.47,6,60.0,0,25,0,458,0,3,0,32,2880,0,,0,0,0,1,0.0,6,0,1,0,462,0,3,7.3,0,0,30,87,32,122,1,28,0.0,0.0,0,0,0,0,0,2,100.0,29,0,0,0.0,3,124,2,0,14,73.68,704,562,394,956,233.7,0,3,1334,4,4,0,Donovan Léon,Auxerre,159837,1646,GK
4,0,0.0,1,25,36.76,15,51,66,60.55,0,0.0,1,5,0,0,0,0,39,0,0,0,1,3,5,0,0,0,0,1,0,0,0.0,,0,0,0.0,37,0,0,7,6,1,0,0,1.46,1,100.0,0,1,0,43,0,0,0,4,416,0,,0,0,0,0,0.0,0,0,0,0,47,0,3,7.3,0,0,0,16,5,21,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,10,0,0,1,50.0,68,50,59,109,36.5,0,1,164,1,0,0,Patrik Carlgren,Nantes,156236,1647,GK
37,22,36.67,305,52,63.41,651,528,1157,88.59,16,59.26,11,24,3,0,0,0,108,11,2,7,3,34,24,0,0,22,16,83,1,1,4.1,2.19,13,0,4.76,0,1,4,17,12,5,1,0,,83,53.55,0,0,1,149,18,31,1,19,1683,1,,0,1,0,1,0.0,0,0,0,1,269,8,0,7.29,0,0,0,0,0,0,0,0,1683.0,0.0,1,8,13,5,9,31,59.62,0,30,19,63.33,30,64,52,60,99,54.4,82,797,569,1306,174.9,21,1,1786,23,3,0,Nuno Mendes,Paris Saint-Germain,989768,1644,DF
