,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
428,Emir Sahiti,xk KVX,FWMF,Hamburger SV,25,1998,22,15,1256,14.0,3,2,5,3,0,0,5,1,0.21,0.14,0.36,0.21,0.36,Matches,866408c6
429,Benedikt Saller,de GER,DF,J. Regensburg,31,1992,4,4,329,3.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b858bfe4
430,Dominik Salz,de GER,FW,Karlsruher,37,1987,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3fd305a9
431,Fabio Di Michele Sanchez,de GER,MFDF,BTSV,21,2003,28,19,1761,19.6,1,1,2,1,0,0,4,0,0.05,0.05,0.10,0.05,0.10,Matches,98683ac7
432,Felipe Sánchez,ar ARG,DF,Schalke 04,20,2004,5,5,381,4.2,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,742d5369
433,Dominik Schad,de GER,DFMF,Preußen Münster,27,1997,11,6,623,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2b342ffd
434,Ron Schallenberg,de GER,DFMF,Schalke 04,25,1998,31,30,2634,29.3,3,1,4,3,0,0,6,1,0.10,0.03,0.14,0.10,0.14,Matches,63c4bacb
435,Tjark Scheller,de GER,DFMF,Paderborn 07,22,2002,30,27,2375,26.4,1,0,1,1,0,0,6,0,0.04,0.00,0.04,0.04,0.04,Matches,eca562bc
436,Johannes Schenk,de GER,GK,Preußen Münster,21,2003,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b74bf2b
437,Simon Scherder,de GER,DF,Preußen Münster,31,1993,18,11,928,10.3,2,0,2,2,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches,900f31a8
438,Derry Scherhant,de GER,FWMF,Hertha BSC,21,2002,34,28,2415,26.8,7,4,11,6,1,1,4,0,0.26,0.15,0.41,0.22,0.37,Matches,93cba339
439,Lukas Schleimer,de GER,FW,Nürnberg,24,1999,25,9,1022,11.4,4,1,5,4,0,1,1,0,0.35,0.09,0.44,0.35,0.44,Matches,11629e82
440,Fabian Schleusener,de GER,FW,Karlsruher,32,1991,30,25,2164,24.0,6,2,8,6,0,0,4,0,0.25,0.08,0.33,0.25,0.33,Matches,52c703f8
441,Frederik Schmahl,de GER,MF,Elversberg,21,2002,30,9,1043,11.6,1,0,1,1,0,0,2,1,0.09,0.00,0.09,0.09,0.09,Matches,af55919f
442,Danny Schmidt,de GER,FWMF,Düsseldorf,21,2003,25,9,899,10.0,5,1,6,5,0,0,1,0,0.50,0.10,0.60,0.50,0.60,Matches,98b913c1
443,Joël Schmied,ch SUI,DF,Köln,25,1998,12,10,916,10.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f6ad6b97
444,Oliver Schmitt,de GER,FW,Köln,24,2000,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2bd79115
445,Luca Schnellbacher,de GER,FWMF,Elversberg,30,1994,29,15,1295,14.4,6,1,7,6,0,0,1,0,0.42,0.07,0.49,0.42,0.49,Matches,b72756f1
446,Oscar Schönfelder,de GER,DF,J. Regensburg,23,2001,5,5,372,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,147c678b
447,Sebastian Schonlau,de GER,DF,Hamburger SV,29,1994,23,19,1764,19.6,0,0,0,0,0,0,7,2,0.00,0.00,0.00,0.00,0.00,Matches,efd623db
448,Markus Schubert,de GER,GK,Paderborn 07,26,1998,12,11,1053,11.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,289b90cd
449,Marcel Schuhen,de GER,GK,Darmstadt 98,31,1993,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5fa2e0cf
