,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
691,Jordan Storey,eng ENG,DF,Preston,27,1997,43,42,3689,41.0,2,2,4,2,0,0,9,1,0.05,0.05,0.10,0.05,0.10,Matches,fa47f160
692,Dávid Strelec,sk SVK,FW,Middlesbrough,24,2001,32,22,1835,20.4,8,1,9,8,0,0,2,0,0.39,0.05,0.44,0.39,0.44,Matches,2cb9486d
693,Zak Sturge,eng ENG,DF,Millwall,21,2004,38,29,2359,26.2,1,0,1,1,0,0,8,1,0.04,0.00,0.04,0.04,0.04,Matches,1095aec1
694,Callum Styles,hu HUN,DFMF,West Brom,25,2000,45,41,3670,40.8,0,3,3,0,0,0,12,0,0.00,0.07,0.07,0.00,0.07,Matches,e96d5560
695,Yukinari Sugawara,jp JPN,MF,Southampton,25,2000,2,1,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,580bcd18
696,Eseosa Sule,sct SCO,FW,West Brom,19,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,73578107
697,Zak Swanson,eng ENG,DF,Portsmouth,24,2000,33,27,2209,24.5,2,1,3,2,0,0,4,0,0.08,0.04,0.12,0.08,0.12,Matches,5b7381b5
698,John Swift,eng ENG,MF,Portsmouth,30,1995,29,22,1631,18.1,3,2,5,3,0,0,9,0,0.17,0.11,0.28,0.17,0.28,Matches,646ee278
699,Mark Sykes,ie IRL,MF,Bristol City,27,1997,38,25,2140,23.8,4,1,5,4,0,0,2,0,0.17,0.04,0.21,0.17,0.21,Matches,40580929
700,Sammie Szmodics,ie IRL,MF,Ipswich Town,29,1995,16,8,678,7.5,1,0,1,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,Matches,39944392
701,Sammie Szmodics,ie IRL,MF,Derby County,29,1995,13,13,1111,12.3,3,1,4,3,0,0,5,0,0.24,0.08,0.32,0.24,0.32,Matches,39944392
702,Maksym Talovierov,ua UKR,DF,Stoke City,25,2000,16,13,1173,13.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,6a54638e
703,Japhet Tanganga,eng ENG,DF,Sheffield United,26,1999,40,40,3554,39.5,1,1,2,1,0,0,9,1,0.03,0.03,0.05,0.03,0.05,Matches,e9971f2d
704,Japhet Tanganga,eng ENG,DF,Millwall,26,1999,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e9971f2d
705,George Tanner,eng ENG,DF,Bristol City,25,1999,33,27,2508,27.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8f9c9b14
706,Matt Targett,eng ENG,DFMF,Middlesbrough,29,1995,42,39,3364,37.4,4,4,8,4,0,0,5,0,0.11,0.11,0.21,0.11,0.21,Matches,e514ab62
707,Sidnei Tavares,,MF,Blackburn,23,2001,13,6,579,6.4,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,3add8ed8
708,Caleb Taylor,eng ENG,DF,Millwall,22,2003,28,24,2246,25.0,3,2,5,3,0,0,1,0,0.12,0.08,0.20,0.12,0.20,Matches,4ed3f5c4
709,Charlie Taylor,eng ENG,DF,West Brom,31,1993,26,18,1665,18.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,cc2d7ad5
710,Jack Taylor,ie IRL,MF,Ipswich Town,27,1998,39,24,2152,23.9,2,2,4,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,Matches,48eed8d5
711,Junior Tchamadeu,cm CMR,DF,Stoke City,21,2003,26,23,2047,22.7,1,2,3,1,0,0,12,0,0.04,0.09,0.13,0.04,0.13,Matches,c19cfdae
712,Hidde ter Avest,nl NED,DFMF,Oxford United,28,1997,13,7,652,7.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18f9dbd0
713,Bobby Thomas,eng ENG,DF,Coventry City,24,2001,33,33,2921,32.5,3,4,7,3,0,0,7,1,0.09,0.12,0.22,0.09,0.22,Matches,6a471ee8
714,Luke Thomas,eng ENG,DF,Leicester City,24,2001,43,39,3548,39.4,1,6,7,1,0,0,11,0,0.03,0.15,0.18,0.03,0.18,Matches,fc027d02
715,Olly Thomas,eng ENG,FW,Bristol City,20,2005,3,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93262836
716,Silko Thomas,eng ENG,FW,Leicester City,21,2004,17,1,282,3.1,1,0,1,1,0,0,1,0,0.32,0.00,0.32,0.32,0.32,Matches,c7a27513
717,Sorba Thomas,wls WAL,MF,Stoke City,25,1999,45,45,3916,43.5,10,11,21,10,0,0,10,1,0.23,0.25,0.48,0.23,0.48,Matches,8725a42e
718,Brandon Thomas-Asante,gh GHA,MFFW,Coventry City,26,1998,32,21,1862,20.7,13,4,17,12,1,1,0,0,0.63,0.19,0.82,0.58,0.77,Matches,fb152f96
719,George Thomason,eng ENG,MF,Wrexham,24,2001,34,29,2569,28.5,1,5,6,1,0,0,2,0,0.04,0.18,0.21,0.04,0.21,Matches,ea8daeb6
720,Jordan Thompson,nir NIR,MF,Preston,28,1997,20,10,1033,11.5,0,3,3,0,0,0,6,0,0.00,0.26,0.26,0.00,0.26,Matches,6bf53300
721,Liam Thompson,eng ENG,MF,Derby County,23,2002,17,11,1028,11.4,1,0,1,1,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches,d38506fe
722,Jarvis Thornton,eng ENG,MF,Sheffield Weds,19,2006,23,12,991,11.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,bc50166f
723,Nathan Tinsdale,eng ENG,MF,Hull City,19,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4575b888
724,Mirko Topić,rs SRB,MF,Norwich City,24,2001,16,13,1037,11.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,3a7d547a
725,Victor Torp,dk DEN,MF,Coventry City,26,1999,39,25,2318,25.8,10,7,17,9,1,1,5,0,0.39,0.27,0.66,0.35,0.62,Matches,e8cc2cbb
