,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
406,Đorđe Nikolić,rs SRB,GK,Sivasspor,27,1997,11,11,945,10.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,3acadb7f
407,Recep Niyaz,tr TUR,MF,Eyüpspor,28,1995,2,1,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a2b8732
408,Mootez Nourani,tn TUN,FW,Adana Dem.,22,2002,3,0,66,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7be10378
409,Olivier Ntcham,cm CMR,MF,Samsunspor,28,1996,32,28,2395,26.6,6,2,8,4,2,5,7,0,0.23,0.08,0.30,0.15,0.23,Matches,6554bb97
410,Anthony Nwakaeme,ng NGA,MF,Trabzonspor,35,1989,20,13,1340,14.9,1,4,5,1,0,0,4,0,0.07,0.27,0.34,0.07,0.34,Matches,f30a4ab1
411,Gabriel Obekpa,ng NGA,MF,BB Bodrumspor,20,2004,3,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94e12da4
412,Prince Obeng Ampem,gh GHA,MF,Eyüpspor,26,1998,29,25,2160,24.0,4,0,4,4,0,0,6,0,0.17,0.00,0.17,0.17,0.17,Matches,751e378c
413,Enes Öğrüce,,FW,BB Bodrumspor,17,2007,7,0,68,0.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,38b504cc
414,David Okereke,ng NGA,FWMF,Gaziantep,26,1997,29,24,2073,23.0,9,3,12,9,0,0,4,0,0.39,0.13,0.52,0.39,0.52,Matches,d125f22f
415,Jonathan Okita,cd COD,MFFW,BB Bodrumspor,28,1995,16,12,1004,11.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2bc17985
416,Jonathan Okoronkwo,ng NGA,FW,Hatayspor,20,2003,15,3,421,4.7,3,1,4,3,0,1,1,0,0.64,0.21,0.86,0.64,0.86,Matches,3b192ae1
417,Alaaddin Okumuş,,DF,Sivasspor,28,1995,6,4,357,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa6c1dce
418,Ibrahim Olawoyin,ng NGA,MF,Rizespor,26,1997,32,31,2708,30.1,6,7,13,6,0,0,7,1,0.20,0.23,0.43,0.20,0.43,Matches,d666bbe6
419,Kenneth Omeruo,ng NGA,DF,Kasımpaşa,30,1993,5,1,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0f0aa5b4
420,Abdülkadir Ömür,tr TUR,MF,Rizespor,25,1999,6,3,238,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6456e745
421,Jean Onana,cm CMR,MF,Beşiktaş,24,2000,3,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b5bb8188
422,Jayden Oosterwolde,nl NED,DF,Fenerbahçe,23,2001,8,8,705,7.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,34abb664
423,Christopher Opéri,ci CIV,DFMF,Başakşehir,27,1997,11,10,912,10.1,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,914bb955
424,Jerome Opoku,gh GHA,DF,Başakşehir,25,1998,33,29,2610,29.0,3,2,5,2,1,3,9,1,0.10,0.07,0.17,0.07,0.14,Matches,091d6ee5
425,Nicholas Opoku,gh GHA,DF,Kasımpaşa,26,1997,27,25,2198,24.4,0,0,0,0,0,0,11,1,0.00,0.00,0.00,0.00,0.00,Matches,b871bf55
426,Mislav Oršić,hr CRO,MF,Trabzonspor,31,1992,5,3,195,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee950928
427,Bright Osayi-Samuel,ng NGA,DFMF,Fenerbahçe,26,1997,25,15,1366,15.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,03b6afa9
428,Victor Osimhen,ng NGA,FW,Galatasaray,25,1998,30,28,2372,26.4,26,5,31,20,6,6,4,0,0.99,0.19,1.18,0.76,0.95,Matches,8c90fd7a
429,Haqi Osman,gh GHA,FW,BB Bodrumspor,22,2002,9,0,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db0ee2aa
430,Alex Oxlade-Chamberlain,eng ENG,MF,Beşiktaş,30,1993,18,14,992,11.0,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,38c7feef
431,Berkay Özcan,tr TUR,MF,Rizespor,26,1998,14,8,702,7.8,1,1,2,0,1,1,1,0,0.13,0.13,0.26,0.00,0.13,Matches,31114001
432,Berkay Özcan,tr TUR,MF,Başakşehir,26,1998,11,6,573,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31114001
