,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
368,Ian Mackay,es ESP,GK,Eldense,38,1986,20,20,1755,19.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f764bf00
369,Ander Madariaga,es ESP,MF,Eibar,22,2002,26,13,1408,15.6,3,0,3,3,0,0,2,0,0.19,0.00,0.19,0.19,0.19,Matches,4d7a011a
370,Jon Magunazelaia,es ESP,MF,Córdoba,23,2001,20,5,580,6.4,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,d4808594
371,Alassán Manjam,gw GNB,FW,Tenerife,21,2002,2,0,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95fb7c1b
372,Mantilla,es ESP,DF,Racing Sant,24,2000,14,11,1005,11.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,d1fac0d5
373,Manu,es ESP,DF,Levante,28,1996,5,4,327,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,14f9a9f7
374,Fran Manzanara,es ESP,MF,Racing Ferrol,27,1996,24,21,1855,20.6,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,bbfaeda4
375,Nikola Maraš,rs SRB,DF,Sporting Gijón,28,1995,27,24,2019,22.4,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,b9d0446f
376,Rai Marchán,es ESP,MF,Albacete,30,1993,19,8,694,7.7,1,0,1,1,0,0,4,1,0.13,0.00,0.13,0.13,0.13,Matches,081e94dc
377,Pere Marco,es ESP,FW,Castellón,20,2003,6,1,173,1.9,1,0,1,1,0,0,0,0,0.52,0.00,0.52,0.52,0.52,Matches,3464782e
378,Alberto Marí,es ESP,FW,Zaragoza,23,2001,27,6,706,7.8,3,1,4,3,0,0,2,0,0.38,0.13,0.51,0.38,0.51,Matches,44330c36
379,Juan María,es ESP,DF,Albacete,23,2001,28,14,1539,17.1,1,1,2,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches,150ff1df
380,Carlos Marín,es ESP,GK,Córdoba,27,1997,40,40,3600,40.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,36ba66aa
381,Higinio Marín,es ESP,FW,Albacete,30,1993,22,10,981,10.9,9,2,11,4,5,5,3,0,0.83,0.18,1.01,0.37,0.55,Matches,61db425b
382,Diego Mariño,es ESP,GK,Granada,34,1990,23,22,1984,22.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d9235a45
383,Nick Markanich,us USA,FW,Castellón,24,1999,13,5,423,4.7,2,0,2,2,0,0,2,0,0.43,0.00,0.43,0.43,0.43,Matches,65988c73
384,Roger Martí,es ESP,FW,Cádiz,33,1991,22,14,1118,12.4,4,3,7,4,0,0,4,0,0.32,0.24,0.56,0.32,0.56,Matches,0ae4e09a
385,Aarón Martin,es ESP,MF,Tenerife,17,2006,28,18,1620,18.0,2,2,4,2,0,0,5,0,0.11,0.11,0.22,0.11,0.22,Matches,f8d8532b
386,Álex Martín,es ESP,DF,Elche,26,1998,8,5,403,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,80153344
387,Ander Martin,es ESP,MF,Mirandés,23,2000,24,4,586,6.5,0,1,1,0,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches,e1e75690
388,Andrés Martín,es ESP,MF,Racing Sant,25,1999,41,39,3339,37.1,16,17,33,11,5,7,6,0,0.43,0.46,0.89,0.30,0.75,Matches,2ae30661
389,Daniel Martín,es ESP,GK,Eldense,26,1998,22,22,1965,21.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4df0dff8
390,Nacho Martin,es ESP,MF,Sporting Gijón,22,2002,40,17,1981,22.0,1,1,2,1,0,0,3,0,0.05,0.05,0.09,0.05,0.09,Matches,337bccc5
391,Teto Martín,es ESP,MFFW,Tenerife,22,2001,21,2,559,6.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8dbf0e8f
392,Brais Martinez,es ESP,DF,Racing Ferrol,22,2001,20,17,1382,15.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0b7887d1
393,Iker Martínez,es ESP,DF,Sporting Gijón,20,2004,3,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0e91f4f6
394,Javi Martínez,es ESP,MF,Eibar,24,1999,16,7,617,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3672b352
395,José Martínez,es ESP,DF,Córdoba,31,1993,12,10,798,8.9,1,0,1,1,0,0,3,1,0.11,0.00,0.11,0.11,0.11,Matches,8e049cbd
396,Marc Martínez,es ESP,GK,Granada,34,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3496ff67
397,Pablo Martinez,fr FRA,DF,Dep. La Coruña,35,1989,27,22,1972,21.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1ad8cb67
398,Pablo Martínez,es ESP,MF,Levante,26,1998,36,32,2559,28.4,3,2,5,2,1,2,0,0,0.11,0.07,0.18,0.07,0.14,Matches,ecc77652
399,Javi Martón,es ESP,FW,Albacete,25,1999,13,7,617,6.9,3,0,3,3,0,0,1,0,0.44,0.00,0.44,0.44,0.44,Matches,2381eead
400,Iván Martos,es ESP,DF,Eldense,27,1997,18,13,1114,12.4,0,1,1,0,0,0,4,1,0.00,0.08,0.08,0.00,0.08,Matches,fc1724bd
401,Marvel,es ESP,DF,Córdoba,21,2003,27,23,2024,22.5,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,49d089cd
402,Mascarenhas,pt POR,FWMF,Oviedo,24,2000,5,0,92,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7942a27b
403,Mascarenhas,pt POR,FW,Eldense,24,2000,15,10,763,8.5,2,0,2,1,1,1,0,0,0.24,0.00,0.24,0.12,0.12,Matches,7942a27b
404,Marc Mateu,es ESP,DF,Eldense,34,1990,37,36,3216,35.7,2,5,7,1,1,1,8,0,0.06,0.14,0.20,0.03,0.17,Matches,ed90fc36
