,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
523,Redouan El Yaakoubi,nl NED,DF,RKC Waalwijk,28,1996,7,4,403,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cf5e4525
524,Marvin Young,nl NED,DF,Sparta R.,18,2005,26,24,2171,24.1,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,bd94ce40
525,Vasilios Zagaritis,gr GRE,DF,Almere City,23,2001,33,33,2957,32.9,0,2,2,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Matches,b4a3d61a
526,Jan Žambůrek,cz CZE,MF,Heracles Almelo,23,2001,20,10,935,10.4,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,395880a4
527,Oskar Zawada,pl POL,FW,RKC Waalwijk,28,1996,26,24,1945,21.6,9,0,9,9,0,0,2,1,0.42,0.00,0.42,0.42,0.42,Matches,e0b94dc4
528,Gjivai Zechiël,nl NED,MF,Sparta R.,20,2004,13,12,1025,11.4,2,1,3,2,0,0,3,0,0.18,0.09,0.26,0.18,0.26,Matches,dd0fd043
529,Gjivai Zechiël,nl NED,MF,Feyenoord,20,2004,9,2,258,2.9,0,2,2,0,0,0,1,0,0.00,0.70,0.70,0.00,0.70,Matches,dd0fd043
530,Lequincio Zeefuik,nl NED,FW,AZ Alkmaar,19,2004,3,0,32,0.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e38b5f28
531,Ramiz Zerrouki,dz ALG,MF,Feyenoord,26,1998,22,12,1091,12.1,1,2,3,1,0,0,3,1,0.08,0.16,0.25,0.08,0.25,Matches,c762b1a6
532,Jeroen Zoet,nl NED,GK,AZ Alkmaar,33,1991,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc1a0c57
533,Rúnar Þór Sigurgeirsson,is ISL,DFMF,Willem II,24,1999,26,23,1930,21.4,1,1,2,1,0,0,5,0,0.05,0.05,0.09,0.05,0.09,Matches,5bdf24fb
534,Nökkvi Þórisson,is ISL,FWMF,Sparta R.,24,1999,12,0,136,1.5,2,0,2,2,0,0,0,0,1.32,0.00,1.32,1.32,1.32,Matches,b4f37ef6
