accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,Pos
64,20,40.82,207,97,53.89,458,503,941,81.75,40,55.56,32,32,1,0,0,0,156,2,0,9,6,70,32,0,0,17,20,115,0,0,,,37,0,15.38,0,4,5,37,36,1,3,1,,116,58.29,2,0,0,210,42,31,2,32,2662,0,,0,0,0,0,0.0,0,0,0,0,299,6,0,7.1,0,0,0,0,0,0,0,0,665.5,0.0,1,12,14,11,6,21,67.74,0,70,43,61.43,31,124,31,49,156,57.56,180,648,552,1151,227.2,26,2,1591,29,7,0,Jorrit Hendrix,Preußen Münster,190875,2590,MF
6,0,0.0,35,11,52.38,81,95,176,87.13,7,70.0,3,3,0,0,0,0,10,0,0,1,1,11,3,0,0,0,3,7,0,0,,,2,0,0.0,12,0,0,1,1,0,0,0,,7,63.64,0,0,0,26,0,0,0,3,215,0,,0,0,0,0,0.0,0,0,0,0,30,0,0,7.1,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,2,0,4,100.0,0,2,2,100.0,0,13,4,1,14,66.67,21,101,102,202,21.3,3,0,232,1,1,0,Marc Kempf,Hertha BSC,226974,2528,DF
45,28,27.72,270,57,58.76,547,472,991,85.95,7,35.0,13,28,1,0,0,0,104,4,1,11,1,22,28,0,1,16,28,86,0,0,,,20,0,3.13,0,1,2,34,28,6,1,0,,93,56.02,0,0,0,162,29,38,1,25,2157,0,,0,0,0,0,0.0,0,0,0,0,294,3,0,7.1,1,0,0,0,0,0,0,0,2157.0,0.0,2,10,22,11,10,17,62.96,0,52,31,59.62,38,79,27,101,100,53.76,97,741,513,1153,198.7,32,0,1719,25,4,0,Fabian Nürnberger,Darmstadt 98,940886,2576,DF
11,4,20.0,196,13,76.47,311,155,462,80.49,37,43.02,49,33,7,0,0,0,79,7,17,9,2,21,33,0,0,52,13,188,0,0,,,53,0,14.29,0,9,16,39,34,5,8,1,,111,44.4,3,0,3,112,14,29,2,32,2586,5,,0,0,0,0,0.0,0,0,0,2,284,9,0,7.09,0,3,0,0,0,0,0,0,287.33,0.0,0,50,13,20,34,26,50.0,0,38,22,57.89,29,21,52,20,148,44.05,17,412,182,574,234.1,63,2,1072,48,4,0,Filip Bilbija,SC Paderborn 07,989630,2561,MF
20,2,33.33,213,30,69.77,376,235,609,79.61,58,51.79,54,29,4,0,0,0,90,4,7,26,3,17,29,0,1,59,9,176,0,1,,,23,0,15.29,0,13,17,50,45,5,11,2,,100,45.05,2,0,0,156,4,46,4,29,2501,13,,0,0,2,0,100.0,0,2,0,0,328,13,0,7.09,1,7,0,0,0,0,0,0,192.38,0.0,1,64,21,30,29,39,54.93,0,14,12,85.71,46,34,71,6,158,47.31,43,502,269,765,205.6,85,6,1220,47,6,0,Kenan Karaman,FC Schalke 04,168943,2530,MF
25,21,24.42,268,34,52.31,414,162,555,83.58,10,45.45,12,27,2,0,0,0,80,7,2,5,2,19,27,0,0,15,10,61,0,0,,,16,0,23.81,0,5,7,12,10,2,5,0,,44,47.31,0,0,0,109,12,24,1,16,1385,0,,1,0,1,0,100.0,0,1,0,0,228,9,0,7.09,0,4,0,0,0,0,0,0,277.0,0.0,1,9,12,7,9,14,63.64,0,13,10,76.92,24,47,22,86,54,46.96,65,566,184,664,191.4,21,2,965,17,3,0,Florian Kainz,1. FC Köln,78781,2671,MF
36,32,28.83,313,30,50.85,480,208,656,73.54,6,20.69,23,33,3,0,0,0,137,8,1,23,2,18,33,0,0,52,37,230,0,1,,,48,1,11.76,0,6,9,58,50,8,4,2,,186,47.33,0,0,2,236,10,47,6,33,2935,13,,0,0,0,1,0.0,0,0,0,1,523,24,0,7.09,0,0,0,0,0,0,0,0,489.17,14.29,7,23,28,14,14,46,39.32,0,57,32,56.14,47,78,117,111,192,45.5,59,760,243,892,233.9,51,2,1587,84,5,0,Branimir Hrgota,SpVgg Greuther Fürth,148076,2551,MF
19,20,18.52,150,15,57.69,245,159,384,71.11,16,23.53,52,34,6,0,0,0,87,8,11,22,3,15,34,0,0,52,13,187,1,0,,,15,0,15.29,0,13,19,58,50,8,12,1,,88,39.46,0,0,2,156,7,62,10,31,2819,8,,0,0,2,0,100.0,0,2,0,0,471,14,0,7.09,0,3,0,0,0,0,0,0,216.85,0.0,2,52,33,29,34,52,48.15,0,18,10,55.56,62,44,108,108,104,35.74,26,450,198,540,240.9,85,3,1153,19,3,0,Rayan Philippe,Eintracht Braunschweig,991824,2557,FW
6,5,26.32,104,4,30.77,201,177,373,81.8,23,28.75,57,33,4,0,0,0,79,6,26,13,6,16,33,0,0,16,10,117,0,0,,,23,0,23.75,0,19,23,52,47,5,19,0,,28,31.82,1,0,1,83,7,24,2,33,2968,18,,0,0,2,0,100.0,0,2,0,1,177,14,0,7.08,1,16,0,0,0,0,0,0,156.21,0.0,1,70,10,21,46,9,42.86,0,12,8,66.67,24,18,21,19,51,30.36,13,276,199,456,233.8,80,5,741,8,2,1,Martijn Kaars,1. FC Magdeburg,861850,2591,FW
20,0,0.0,67,71,68.93,319,882,1201,93.17,38,71.7,15,25,0,0,0,0,101,0,0,0,9,91,25,0,0,2,10,46,0,0,,,16,0,0.0,50,0,0,27,25,2,0,0,,77,71.3,0,0,0,88,24,4,0,22,2002,1,,0,0,0,1,0.0,0,0,0,0,105,0,0,7.08,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,3,0,4,50.0,0,58,38,65.52,4,34,8,2,115,71.43,103,373,918,1289,177.1,3,2,1559,15,5,0,Maximilian Rohr,SV 07 Elversberg,846398,2598,DF
50,1,16.67,186,70,50.0,495,1105,1599,90.03,72,54.55,60,31,2,0,0,0,137,3,3,1,8,139,31,0,0,10,14,117,1,3,,,31,0,23.08,1,3,5,40,34,6,3,0,,78,57.78,2,0,0,177,23,12,0,31,2732,1,,1,1,0,1,0.0,0,0,0,0,223,7,0,7.08,0,1,0,0,0,0,0,0,910.67,0.0,0,11,2,8,4,7,63.64,0,35,27,77.14,11,100,11,6,150,56.18,140,614,1168,1776,219.6,13,1,2171,37,5,0,Felix Götze,SC Paderborn 07,844131,2561,DF
6,1,7.69,148,15,48.39,246,173,418,77.7,10,33.33,20,24,5,0,0,0,86,5,2,13,0,18,24,0,0,26,6,87,0,0,,,18,0,10.53,0,4,9,13,12,1,3,1,,73,52.14,0,0,0,120,11,18,1,21,1672,3,,0,0,0,0,0.0,0,0,0,0,215,9,0,7.08,0,3,0,0,0,0,0,0,418.0,0.0,0,24,14,10,15,14,41.18,0,23,12,52.17,18,18,34,13,83,48.82,31,345,206,538,170.0,38,0,846,37,0,0,Tom Zimmerschied,SV 07 Elversberg,887457,2598,MF
48,4,19.05,162,69,60.0,340,360,696,81.21,9,42.86,12,22,3,0,0,0,97,4,2,4,3,18,22,0,0,17,22,78,0,1,,,13,0,20.0,0,4,7,21,16,5,4,0,,56,45.9,0,0,0,161,25,19,1,19,1666,0,,0,1,3,0,100.0,0,3,0,0,239,7,0,7.08,0,3,0,0,0,0,0,0,416.5,0.0,2,11,9,10,6,12,46.15,0,33,22,66.67,18,83,26,21,65,45.45,115,480,398,857,155.8,20,1,1135,11,5,0,Semih Şahin,SV 07 Elversberg,978767,2598,MF
19,0,0.0,6,162,43.78,50,797,847,79.98,16,94.12,1,32,0,0,0,0,282,0,0,0,8,35,32,0,0,0,1,2,1,2,,,0,0,0.0,227,0,0,54,46,8,0,0,,1,50.0,0,29,1,212,0,0,0,32,2880,0,,0,0,0,0,0.0,6,0,0,0,223,0,17,7.08,0,0,10,64,39,104,3,23,0.0,0.0,0,0,0,0,0,0,0.0,9,0,0,0.0,0,33,0,0,17,89.47,370,183,876,1059,226.5,0,3,1396,1,1,0,Jan Reichert,1. FC Nürnberg,1064986,2523,GK
28,0,0.0,57,86,64.18,291,796,1087,89.83,85,73.91,30,27,1,0,0,0,75,2,1,0,4,165,27,0,0,3,7,58,0,2,,,19,0,0.0,11,0,1,30,25,5,0,0,,47,62.67,0,0,1,123,24,5,0,22,2083,0,,0,0,0,1,0.0,0,0,0,0,136,1,0,7.08,0,0,0,0,0,0,0,0,0.0,0.0,0,8,0,6,2,1,100.0,0,39,21,53.85,5,53,1,0,132,69.47,134,366,844,1210,191.1,8,3,1530,7,5,0,Toni Leistner,Hertha BSC,137053,2528,DF
12,20,25.64,181,20,60.61,336,204,520,86.09,13,34.21,25,30,6,0,0,0,80,13,5,12,2,22,30,0,0,20,19,121,0,0,,,29,0,5.56,0,2,8,32,29,3,2,0,,85,46.96,0,0,0,84,14,38,1,20,1969,7,,0,0,0,1,0.0,0,0,0,0,251,8,0,7.07,0,1,0,0,0,0,0,0,984.5,0.0,0,25,11,12,12,40,58.82,0,26,11,42.31,38,23,68,78,98,44.75,33,462,220,604,212.2,36,1,1110,20,1,0,Alexander Nollenberger,1. FC Magdeburg,857470,2591,MF
13,11,34.38,217,19,52.78,367,184,540,80.36,5,21.74,18,25,2,0,0,0,69,9,2,13,2,7,25,0,0,35,19,141,0,1,,,22,0,11.43,0,4,6,26,20,6,4,0,,121,49.59,0,0,0,132,9,42,4,21,1755,4,,0,0,0,0,0.0,0,0,0,1,295,13,0,7.07,0,0,0,0,0,0,0,0,438.75,0.0,0,20,15,11,11,62,55.36,0,28,17,60.71,42,29,112,32,126,47.19,36,497,207,672,176.8,35,1,1083,32,3,0,Daisuke Yokota,1. FC Kaiserslautern,1108551,2675,MF
4,0,0.0,1,14,46.67,7,81,88,84.62,0,0.0,0,3,0,0,0,0,29,0,0,0,1,2,3,0,0,0,0,0,1,0,,,0,0,0.0,18,0,0,4,3,1,0,0,,0,0.0,0,1,0,16,0,0,0,3,270,0,,0,0,0,0,0.0,0,0,0,0,17,0,0,7.07,0,0,5,5,7,12,0,0,0.0,0.0,0,0,0,0,0,0,0.0,5,0,0,0.0,0,5,0,0,0,0.0,30,17,87,104,21.2,0,0,147,0,0,0,Matheo Raab,Hamburger SV,842718,2676,GK
30,2,11.76,151,43,60.56,269,209,476,78.29,26,61.9,16,21,2,0,0,0,93,2,1,13,4,21,20,0,0,20,9,82,0,0,,,27,0,15.38,0,6,8,32,28,4,4,2,,67,50.38,0,0,0,132,17,9,3,18,1610,0,,0,0,1,0,100.0,0,1,0,0,208,12,0,7.07,0,3,0,0,0,0,0,0,268.33,0.0,0,14,25,14,12,13,54.17,0,33,21,63.64,9,54,24,17,93,53.14,71,390,235,608,141.3,39,2,875,21,5,0,Lino Tempelmann,Eintracht Braunschweig,886133,2557,MF
22,8,20.51,148,25,64.1,213,92,297,80.71,2,10.53,17,25,4,0,0,0,42,9,1,11,0,1,25,0,0,8,10,87,0,0,,,20,0,18.52,0,5,9,19,17,2,4,1,,70,50.0,0,0,0,71,5,25,4,13,1068,5,,0,0,0,0,0.0,0,0,0,0,185,11,0,7.06,0,1,0,0,0,0,0,0,213.6,0.0,3,17,10,5,11,35,52.24,0,11,6,54.55,25,39,67,39,72,45.28,39,302,105,368,176.6,27,1,638,24,2,0,Xavier Amaechi,1. FC Magdeburg,934231,2591,FW
